,cevae_ite
1390,-0.019140527
1391,-0.019706883
1392,-0.00939997
1393,-0.0107409
1394,-0.019297086
1395,-0.017965207
1396,-0.010226168
1397,-0.018024333
1398,-0.013002471
1399,-0.016972927
1400,-0.011217747
1401,-0.027687587
1402,-0.019248903
1403,-0.007980936
1404,-0.013795351
1405,-0.017597362
1406,-0.010837167
1407,-0.019546421
1408,-0.018710688
1409,-0.019108612
1410,-0.017848827
1411,-0.024778591
1412,-0.019814104
1413,-0.017809231
1414,-0.018077007
1415,-0.014471389
1416,-0.015609055
1417,-0.01479831
1418,-0.020939471
1419,-0.025202915
1420,-0.020578919
1421,-0.013457635
1422,-0.020856457
1423,-0.019742228
1424,-0.010473954
1425,-0.016821144
1426,-0.023636384
1427,-0.017614761
1428,-0.010445117
1429,-0.012634176
1430,-0.01030076
1431,-0.010549553
1432,-0.014245755
1433,-0.018604713
1434,-0.019828252
1435,-0.011700166
1436,-0.012613943
1437,-0.013986545
1438,-0.016420215
1439,-0.011716371
1440,-0.018945279
1441,-0.011457247
1442,-0.013196234
1443,-0.027535267
1444,-0.014999476
1445,-0.013304161
1446,-0.010185327
1447,-0.021135803
1448,-0.012656824
1449,-0.016197115
1450,-0.015521794
1451,-0.011728776
1452,-0.019132297
1453,-0.014347076
1454,-0.010509485
1455,-0.019621136
1456,-0.014972975
1457,-0.015866186
1458,-0.017139936
1459,-0.012268348
1460,-0.010444375
1461,-0.01593771
1462,-0.009302391
1463,-0.009256196
1464,-0.024300301
1465,-0.02725153
1466,-0.015252096
1467,-0.014657553
1468,-0.020024013
1469,-0.014868406
1470,-0.017136334
1471,-0.015831528
1472,-0.019258747
1473,-0.01343768
1474,-0.025061723
1475,-0.011221268
1476,-0.013320789
1477,-0.017688945
1478,-0.024817998
1479,-0.012833207
1480,-0.020625439
1481,-0.014473527
1482,-0.021333896
1483,-0.011280171
1484,-0.016808068
1485,-0.011142061
1486,-0.024045609
1487,-0.014411579
1488,-0.012322811
1489,-0.025544673
1490,-0.016748177
1491,-0.023956932
1492,-0.014379198
1493,-0.020851541
